DATE,S&P 500,TA,CC,FFR,LF,,MKT-RF
2015-03,-1.835431348,-1.126929751,4.461457672,0.745223166,-1.386230128,,-2.580654514
2015-04,-1.366735295,-0.221530204,-2.487070621,0.516545062,-0.388826759,,-1.883280357
2015-05,-0.925016011,0.541195091,-0.936559983,-2.379111246,1.380118926,,1.454095235
2015-06,-17.22464973,-0.282106833,4.693138314,-1.546416993,-3.399437729,,-15.67823273
2015-07,-2.287723522,3.129218107,-1.65953002,-1.616989475,-1.498457577,,-0.670734046
2015-08,-3.063839067,-2.319774671,-0.188887178,-2.442028766,-1.234773699,,-0.621810301
2015-09,-1.449376449,-1.301069778,1.121115983,-2.527638295,-1.372656682,,1.078261846
2015-10,1.816001439,1.785454936,-1.37192573,0.059210616,4.037102534,,1.756790824
2015-11,-1.743672064,-2.882919195,-3.985632927,-1.632505213,-0.738000411,,-0.111166851
2015-12,-0.770363931,-1.450286365,-0.901394104,18.61374622,-5.188131523,,-19.38411015
2016-01,0.890104938,-0.575167398,-25.87143625,-1.160797723,0.384138403,,2.050902661
2016-02,-2.394066175,-3.043462733,-1.137373139,2.377771619,-2.500590861,,-4.771837793
2016-03,0.419587638,-1.336484967,7.979247096,-0.354418317,-0.865119839,,0.774005955
2016-04,-1.899581943,0.663088643,-1.670670914,-1.353881481,-1.833367624,,-0.545700462
2016-05,-1.204424668,-5.029491984,-0.826682759,-1.203088729,7.194642414,,-0.001335938
2016-06,-2.142679335,-1.641493982,-1.083486195,-4.903974704,-2.0758087,,2.761295369
2016-07,-3.383553637,-0.441001994,-4.01047423,-0.886344461,-1.539307382,,-2.497209176
2016-08,-2.062510286,-2.305780897,14.08564184,-7.097019209,-1.80044093,,5.034508922
2016-09,-0.999576751,-1.618113603,-1.947537385,-0.362300845,-0.661903816,,-0.637275906
2016-10,1198.369568,-2.307890744,-1.070606355,-1.099808252,-5.058488601,,1199.469376
2016-11,-3.895310284,-1.28778417,-20.07164905,17.05765272,-0.916304169,,-20.952963
2016-12,-1.292489574,4.414992767,-1.280262401,11.19382339,-8.035044234,,-12.48631297
2017-01,-0.98003356,-2.030166335,1.788211982,-1.192139739,-0.971811836,,0.21210618
2017-02,-61.47779154,-1.839708871,-0.088671133,3.335876602,-15.17802692,,-64.81366814
2017-03,-2.963760002,-0.420640144,-5.308801,-2.191733128,-1.080505312,,-0.772026874
2017-04,-1.255725582,-0.731434713,-1.457879568,-1.159302543,12.00073316,,-0.096423039
2017-05,-0.739436086,-14.60147073,-0.641007839,4.055969773,-0.660535015,,-4.795405858
2017-06,-3.727067112,-1.49111513,-0.551767546,-2.23066841,-4.417297282,,-1.496398702
2017-07,-3.141157643,-1.065618409,-1.17888182,-1.181043665,-2.348966991,,-1.960113978
2017-08,-2.296339913,8.976542202,-16.47512702,3.749999954,-0.615434596,,-6.046339867
2017-09,-1.997582666,-1.459715463,-3.17503846,-0.901960782,-5.248295762,,-1.095621885
2017-10,-0.847805915,1.2588738,-1.783303392,-1.421052693,-1.041340578,,0.573246779
2017-11,1.034186147,-3.44828031,-1.475653264,-0.3975003,9.858290895,,1.431686447
2017-12,-4.115160465,-1.551264041,-0.105962883,53.59752828,-1.331708307,,-57.71268875
2018-01,-3.505249942,-1.566148325,-2.622182256,-1.224122204,-1.659596384,,-2.281127738
2018-02,-3.103309828,1.9963709,-0.670806534,2.466429349,-1.003458834,,-5.569739177
2018-03,-1.132158677,-1.472467115,-7.223609807,-1.779163606,484.5297851,,0.647004929
2018-04,1.402483468,-1.171356464,-1.839639618,0.13929693,-2.476454466,,1.263186538
2018-05,-0.377224922,18.36066334,-1.396924618,-2.829742678,-1.831821096,,2.452517756
2018-06,-1.886642458,-1.531086712,-1.151357259,-1.62731872,-2.694399507,,-0.259323739
2018-07,-2.846640771,-1.174570473,3.374362478,-1.261904768,-1.996973434,,-1.584736003
2018-08,-1.182400415,9.586208382,0.966844284,1.914589354,-1.67341577,,-3.096989769
2018-09,3.580334136,-1.771993246,-3.146740677,-1.409256697,-1.995979582,,4.989590833
2018-10,1.985381729,-1.275244347,-1.821220588,4.523048581,-2.628877709,,-2.537666852
2018-11,-2.176038404,0.949143131,-1.725887532,-2.154740704,-1.604813055,,-0.021297699
2018-12,-2.271512131,-1.656084838,-1.908520646,-1.298462868,-1.598347082,,-0.973049263
2019-01,-2.509273258,0.042239708,-0.605079102,-0.260090376,-0.731127688,,-2.249182882
2019-02,-1.270026468,-3.631722612,0.933770559,-3.55291289,-0.846165277,,2.282886422
2019-03,-0.751756632,-1.630753064,-3.80320259,-1.041025638,23.0477018,,0.289269007
2019-04,-2.803530097,-0.349549308,-1.325523715,1.585417018,-8.665188946,,-4.388947115
2019-05,-6.126341958,-6.131320187,-0.692651018,-4.83722783,-1.905038184,,-1.289114129
2019-06,-2.263580311,-2.044696026,-0.777354659,-1.378832427,-1.455246277,,-0.884747884
2019-07,-1.398039108,-1.291958157,-12.77176647,0.986696154,-2.063531283,,-2.384735262
2019-08,-0.416212773,-1.819312907,-2.935126974,-8.845145164,-1.842806925,,8.428932391
2019-09,-2.124549446,8.034076111,-2.621516447,-1.642636126,-0.537687773,,-0.48191332
2019-10,-0.904009696,0.854012553,-1.597502807,-1.671758262,-4.700371012,,0.767748566
2019-11,2.895093783,-1.728272903,-2.350885505,-0.517136269,-0.902341574,,3.412230052
2019-12,-1.402081122,-0.995522123,-1.812770294,-5.347381025,-9.837425197,,3.945299903
